report_date,cert,total_assets,borrowings
2023-12-31,3098.0,1925.0,0.0
2023-12-31,13990.0,14.0,0.0
2023-12-31,30812.0,132.0,0.0
2023-12-31,6861.0,634.0,-16.0
2023-12-31,19143.0,1163.0,0.0
2023-12-31,29624.0,182.0,0.0
2023-12-31,14523.0,564.0,0.0
2023-12-31,3099.0,2430.0,-241.0
2023-12-31,11133.0,131.0,0.0
2023-12-31,17551.0,141.0,0.0
2023-12-31,29632.0,1413.0,0.0
2023-12-31,18028.0,201.0,-10.0
2023-12-31,9406.0,69.0,0.0
2023-12-31,10011.0,1049.0,0.0
2023-12-31,4419.0,6108.0,0.0
2023-12-31,24938.0,27.0,0.0
2023-12-31,12203.0,709.0,0.0
2023-12-31,20484.0,1033.0,-207.0
2023-12-31,1169.0,504.0,-87.0
2023-12-31,8251.0,348.0,-17.0
2023-12-31,6078.0,1688.0,0.0
2023-12-31,28369.0,23.0,0.0
2023-12-31,19809.0,459.0,0.0
2023-12-31,17229.0,1613.0,-24.0
2023-12-31,32292.0,101.0,-62.0
2023-12-31,22601.0,93.0,0.0
2023-12-31,90253.0,3373.0,2.0
2023-12-31,15272.0,1863.0,-371.0
2023-12-31,1779.0,2336.0,0.0
2023-12-31,17809.0,1756.0,0.0
2023-12-31,25749.0,189.0,0.0
2023-12-31,16464.0,468.0,0.0
2023-12-31,32612.0,29679.0,0.0
2023-12-31,9359.0,5298.0,-85.0
2023-12-31,8432.0,3731.0,-729.0
2023-12-31,9879.0,13.0,-191.0
2023-12-31,16825.0,930.0,-139.0
2023-12-31,3108.0,2102.0,5.0
2023-12-31,21943.0,35107.0,-284.0
2023-12-31,29672.0,2385.0,-2057.0
2023-12-31,1294.0,1134.0,-211.0
2023-12-31,8149.0,3255.0,0.0
2023-12-31,15336.0,137.0,0.0
2023-12-31,28380.0,362.0,0.0
2023-12-31,8552.0,162.0,0.0
2023-12-31,3109.0,232.0,-1.0
2023-12-31,10074.0,44.0,-1.0
2023-12-31,245.0,3067.0,144.0
2023-12-31,18761.0,476.0,0.0
2023-12-31,29676.0,159.0,0.0
2023-12-31,1374.0,29.0,0.0
2023-12-31,9030.0,246.0,4.0
2023-12-31,16318.0,55.0,0.0
2023-12-31,29685.0,32.0,0.0
2023-12-31,5885.0,1262.0,0.0
2023-12-31,29683.0,4477.0,0.0
2023-12-31,13775.0,83.0,0.0
2023-12-31,23473.0,26706.0,0.0
2023-12-31,12594.0,2523.0,0.0
2023-12-31,30878.0,19.0,0.0
2023-12-31,110.0,198998.0,11.0
2023-12-31,29690.0,3958.0,6.0
2023-12-31,10993.0,701.0,3.0
2023-12-31,29696.0,606.0,0.0
2023-12-31,3351.0,470.0,0.0
2023-12-31,5105.0,567.0,0.0
