report_date,cert,institution,total_deposits,interest_bearing_cash,noninterest_cash
2023-12-31,5740.0,STATE BANK OF DAVIS,156268.0,1475.0,1903.0
2023-12-31,14534.0,"FIRST NATIONAL BANK AT PARIS, THE",221857.0,6404.0,11257.0
2023-12-31,9818.0,PLATTE VALLEY BANK,84404.0,1825.0,15168.0
2023-12-31,22070.0,JOHNSON COUNTY BANK,119785.0,1171.0,50.0
2023-12-31,17927.0,VINTAGE BANK KANSAS,182872.0,3672.0,5235.0
2023-12-31,5170.0,BANK MIDWEST,1078623.0,39683.0,4647.0
2023-12-31,16470.0,JEFFERSON BANK,2547732.0,25734.0,90697.0
2023-12-31,28908.0,IRON WORKERS SAVINGS BANK,169239.0,952.0,6844.0
2023-12-31,1610.0,"STATE BANK OF FARIBAULT, THE",278403.0,5115.0,9144.0
2023-12-31,2765.0,FARMERS BANK AND TRUST COMPANY,191521.0,8154.0,9000.0
2023-12-31,5033.0,"DART BANK, THE",1009923.0,17591.0,55276.0
2023-12-31,18038.0,CLAREMONT SAVINGS BANK,419606.0,1657.0,16394.0
2023-12-31,4775.0,PRAIRIE BANK OF KANSAS,103887.0,3102.0,52.0
2023-12-31,16778.0,FRANKLIN STATE BANK,35021.0,1557.0,3419.0
2023-12-31,28905.0,FIRST FINANCIAL BANK,1312986.0,22173.0,48881.0
2023-12-31,9517.0,CLEVELAND STATE BANK,177448.0,4420.0,814.0
2023-12-31,10212.0,COMMERCE BANK,165597.0,934.0,7905.0
2023-12-31,9265.0,RUSHVILLE STATE BANK,110154.0,2878.0,7367.0
2023-12-31,19371.0,RELYANCE BANK,1332036.0,13874.0,224514.0
2023-12-31,16473.0,FIRST BANK,117280.0,2189.0,3163.0
2023-12-31,26727.0,BANK OF SOUTH TEXAS,142608.0,5791.0,24140.0
2023-12-31,4041.0,"FIRST SECURITY BANK, THE",127269.0,3180.0,528.0
2023-12-31,14561.0,STATE BANK OF MEDORA,77800.0,3313.0,100.0
2023-12-31,23242.0,CALIFORNIA PACIFIC BANK,44354.0,187.0,15724.0
2023-12-31,9176.0,APEX BANK,1010928.0,9288.0,162379.0
2023-12-31,22839.0,LATIMER STATE BANK,52320.0,2995.0,11505.0
2023-12-31,16436.0,CENTERA BANK,297425.0,5982.0,6534.0
2023-12-31,14445.0,FARMERS & MERCHANTS UNION BANK,398074.0,9298.0,26665.0
2023-12-31,90544.0,"DEPOSITORY TRUST COMPANY, THE",0.0,5247.0,7195100.0
2023-12-31,8980.0,SECURITY STATE BANK OF OKLAHOMA,305980.0,8169.0,9210.0
2023-12-31,11916.0,"BUCKHOLTS STATE BANK, THE",96971.0,1060.0,8131.0
2023-12-31,1868.0,"BANK OF TESCOTT, THE",373208.0,4120.0,0.0
2023-12-31,12501.0,CITIZENS STATE BANK,1169871.0,11209.0,229492.0
